n,timestamp,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_C
0,2026-05-20 21:19:14.961,0.0955,0.2644,-0.9629,-1.6107,5.9771,7.5038,42.34
1,2026-05-20 21:19:15.061,0.0833,0.2834,-0.926,3.0534,2.1069,3.1985,42.34
2,2026-05-20 21:19:15.161,0.0793,0.2544,-0.9585,6.4275,8.855,-9.1832,42.35
3,2026-05-20 21:19:15.261,0.0835,0.2515,-0.9575,0.0229,8.8168,-22.0916,42.35
4,2026-05-20 21:19:15.361,0.0823,0.2495,-0.9512,-0.0992,10.3969,-26.2519,42.37
5,2026-05-20 21:19:15.461,0.074,0.2646,-0.9458,-1.8092,9.1221,-28.8092,42.36
6,2026-05-20 21:19:15.561,0.0596,0.2622,-0.9539,0.9771,9.4275,-26.9008,42.37
7,2026-05-20 21:19:15.661,0.0601,0.2615,-0.9558,0.5878,9.3817,-28.3588,42.37
8,2026-05-20 21:19:15.761,0.0747,0.2629,-0.9495,-5.5802,15.9618,-34.2061,42.4
9,2026-05-20 21:19:15.862,0.0583,0.2896,-0.9568,2.3969,17.5038,-34.1374,42.39
10,2026-05-20 21:19:15.962,0.0625,0.2849,-0.9531,-5.229,12.5954,-32.229,42.4
11,2026-05-20 21:19:16.062,0.0454,0.293,-0.9587,-6.1527,10.9389,-20.9389,42.39
12,2026-05-20 21:19:16.162,0.0598,0.2981,-0.9502,-6.2214,4.7557,-2.2672,42.39
13,2026-05-20 21:19:16.262,0.0637,0.3027,-0.9197,-14.3359,2.3817,14.3817,42.39
14,2026-05-20 21:19:16.362,0.052,0.321,-0.9368,-1.1069,3.5573,38.8397,42.41
15,2026-05-20 21:19:16.462,0.0923,0.3511,-0.9104,-10.3053,-3.3511,35.5878,42.42
16,2026-05-20 21:19:16.562,0.1189,0.3416,-0.9365,-7.7634,-1.0,26.8244,42.41
17,2026-05-20 21:19:16.662,0.1394,0.3171,-0.9058,-15.855,-4.1069,18.3817,42.43
18,2026-05-20 21:19:16.762,0.1372,0.4036,-0.9043,-5.7557,-3.6412,26.8931,42.42
19,2026-05-20 21:19:16.862,0.1694,0.4026,-0.9111,-3.1985,-5.7252,28.0,42.47
20,2026-05-20 21:19:16.962,0.1328,0.4092,-0.8938,0.1145,-15.9542,10.6718,42.43
21,2026-05-20 21:19:17.062,0.1128,0.4036,-0.8997,-9.1298,-30.1145,16.7786,42.46
22,2026-05-20 21:19:17.162,0.0356,0.3696,-0.8804,-2.855,-44.7176,19.9313,42.44
23,2026-05-20 21:19:17.262,-0.0813,0.3938,-0.9749,10.313,-35.3817,34.6565,42.45
24,2026-05-20 21:19:17.362,-0.1497,0.3806,-0.918,-27.4198,-14.2595,7.084,42.46
25,2026-05-20 21:19:17.463,-0.1606,0.3684,-0.886,8.7786,9.1985,16.5115,42.47
26,2026-05-20 21:19:17.563,-0.1357,0.3801,-0.9111,18.5649,16.4198,6.5878,42.48
27,2026-05-20 21:19:17.663,-0.1123,0.302,-0.9172,17.8931,25.4046,2.1374,42.5
28,2026-05-20 21:19:17.763,0.0105,0.259,-0.9333,-12.7557,13.1298,0.4733,42.49
29,2026-05-20 21:19:17.863,0.0615,0.2842,-0.9287,20.8321,25.5725,9.8855,42.52
30,2026-05-20 21:19:17.963,0.0986,0.2563,-0.9775,18.3359,28.7863,-12.8397,42.53
31,2026-05-20 21:19:18.063,0.1406,0.157,-1.0024,36.9466,25.4275,-40.0458,42.5
32,2026-05-20 21:19:18.163,0.1687,0.2017,-0.9424,-2.0076,31.7328,-57.4351,42.52
33,2026-05-20 21:19:18.263,0.1841,0.1646,-0.9551,-5.5038,28.8092,-56.7252,42.53
34,2026-05-20 21:19:18.363,0.2358,0.2151,-0.9771,-2.1603,13.2214,-19.8779,42.54
35,2026-05-20 21:19:18.463,0.2468,0.1975,-0.9194,-2.6947,4.6336,-8.0382,42.55
36,2026-05-20 21:19:18.563,0.2419,0.2139,-0.9211,-21.2901,10.1145,-7.7863,42.52
37,2026-05-20 21:19:18.663,0.1296,0.3054,-0.9854,-26.0611,1.4962,-9.9695,42.54
38,2026-05-20 21:19:18.763,0.0913,0.3357,-0.8669,-23.2214,-15.0763,0.1221,42.56
39,2026-05-20 21:19:18.863,0.0029,0.408,-0.9326,30.5496,-37.3893,16.542,42.54
40,2026-05-20 21:19:18.963,0.0381,0.3105,-1.0166,47.9237,-23.7252,28.1756,42.57
41,2026-05-20 21:19:19.064,0.0278,0.3037,-0.9541,-29.542,-8.3893,26.1069,42.59
42,2026-05-20 21:19:19.164,0.0442,0.3088,-0.937,1.9237,-4.5344,49.4198,42.6
43,2026-05-20 21:19:19.264,0.0747,0.2793,-0.9473,-11.0534,1.4733,58.0076,42.59
44,2026-05-20 21:19:19.364,0.0693,0.2307,-0.9558,-0.6336,1.542,67.5725,42.62
45,2026-05-20 21:19:19.464,0.0793,0.2163,-0.9766,-4.6183,-11.9466,59.1374,42.62
46,2026-05-20 21:19:19.564,0.1624,0.2441,-0.9521,-15.6107,-10.0076,44.1069,42.64
47,2026-05-20 21:19:19.664,0.1562,0.2781,-0.9241,-19.4198,-5.0687,14.2595,42.63
48,2026-05-20 21:19:19.764,0.1558,0.2598,-0.958,2.8015,6.3664,-12.374,42.62
49,2026-05-20 21:19:19.864,0.1121,0.2786,-0.9407,-1.0153,19.8626,-55.1145,42.67
